csvid,description
10,"Re>>:>>AWB>>Shipping>>Documents>>||||>>Dear>>Sir>>/>>Madam>>,>>Here>>is>>the>>attachment>>and>>view>>original>>bill>>of>>Lading/>>Invoice>>confirmation>>attached;This>>was>>made>>for>>your>>company>>through>>one>>of>>your>>customers>>.>>Please>>confirm>>to>>us>>before>>shipment>>.>>Track>>Your>>Shipment>>Here>>92748969007363573007210914>>Move>>To>>Inbox>>For>>Proper>>View>>Custom>>Allowance>>Operation>>Department>>DHL>>Express>>(>>Dubai>>)>>LTD>>.>>Please>>consider>>your>>environmental>>responsibility>>before>>printing>>this>>email>>."
11,REGISTER>>YOUR>>ACCOUNT>>ON>>THE>>NEW>>USAA>>PORTAL>>NOW>>||||>>my>>message>>...
12,":>>Doc>>||||>>Hi>>,>>I>>have>>been>>trying>>to>>send>>you>>some>>docs>>but>>have>>n't>>been>>able>>to>>attach>>them>>on>>here>>.>>I>>uploaded>>them>>via>>Tripod>>docs>>so>>you>>can>>view>>them>>Click>>here>>to>>view>>Thank>>you>>.>>Await>>your>>soonest>>reply>>.>>Best>>Regards>>R"
13,":>>Doc>>||||>>Hi>>,>>Please>>find>>proof>>of>>payment>>attached>>.>>Should>>you>>require>>any>>further>>assistance>>please>>do>>nt>>hesitate>>to>>contact>>me>>Click>>here>>to>>view>>Thank>>you>>.>>Await>>your>>soonest>>reply>>.>>Best>>Regards>>R"
14,"WARNING>>:>>UPDATE>>YOUR>>jose@monkey.org>>ACCOUNT>>||||>>Dear>>jose@monkey.org>>,>>1969>>MB>>2000>>MB>>We>>noticed>>your>>e>>->>mail>>account>>has>>almost>>exceed>>it>>'s>>limit>>.>>And>>you>>may>>not>>be>>able>>to>>send>>or>>receive>>messages>>any>>moment>>from>>now>>,>>CLICK>>HERE>>TO>>UPDATE>>YOUR>>E>>->>MAIL>>ACCOUNT>>.>>NOTICE>>:>>failure>>to>>update>>your>>e>>->>mail>>account>>.>>It>>will>>be>>permanently>>disabled>>.>>Thanks>>,>>Account>>Service"
15,"Urgent>>||||>>Good>>day>>,>>Please>>find>>proof>>of>>payment>>attached>>.>>Should>>you>>require>>any>>further>>assistance>>please>>do>>nt>>hesitate>>to>>contact>>me>>Click>>here>>to>>view>>Rachael"
16,Fix>>The>>Error>>On>>Your>>Account>>.>>||||>>You>>have>>a>>pending>>payment>>slated>>on>>your>>account>>.>>This>>transaction>>can>>not>>be>>completed>>due>>to>>errors>>present>>in>>your>>account>>.>>You>>are>>required>>to>>click>>on>>the>>Log>>on>>below>>to>>fix>>this>>problem>>immediately>>.>>Log>>On>>Regards>>.>>Managing>>Director>>of>>Digital>>Retail>>Banking
17,COMPLETE>>YOUR>>ACCOUNT>>UPGRADE>>IMMEDIATELY>>||||>>Dear>>USAA>>Member>>We>>have>>received>>multiple>>account>>update>>notifications>>from>>you>>regarding>>the>>upgrade>>of>>your>>account>>security>>.>>Unfortunately>>we>>are>>unable>>to>>upgrade>>your>>account>>security>>because>>you>>did>>nt>>complete>>the>>process>>.>>We>>urge>>you>>to>>please>>complete>>the>>process>>for>>a>>good>>security>>to>>be>>placed>>on>>your>>account>>.>>Unable>>to>>do>>this>>may>>cause>>your>>account>>to>>be>>compromised>>by>>anyone>>with>>your>>information>>.>>COMPLETE>>YOUR>>ACCOUNT>>UPGRADE>>NOW>>Thank>>you>>for>>helping>>us>>to>>server>>you>>more>>better>>.>>Sincerely>>USAA>>.
18,WE>>RECEIVED>>INVALID>>CREDETIALS>>FROM>>YOU>>->>UPGRADE>>NOW>>||||>>Dear>>USAA>>Member>>We>>have>>received>>multiple>>account>>update>>notifications>>from>>you>>regarding>>the>>upgrade>>of>>your>>account>>security>>.>>Unfortunately>>we>>are>>unable>>to>>upgrade>>your>>account>>security>>because>>you>>did>>nt>>complete>>the>>process>>.>>We>>urge>>you>>to>>please>>complete>>the>>process>>for>>a>>good>>security>>to>>be>>placed>>on>>your>>account>>.>>Unable>>to>>do>>this>>may>>cause>>your>>account>>to>>be>>compromised>>by>>anyone>>with>>your>>information>>.>>COMPLETE>>YOUR>>ACCOUNT>>UPGRADE>>NOW>>Thank>>you>>for>>helping>>us>>to>>server>>you>>more>>better>>.>>Sincerely>>USAA>>.
19,USAA>>IDP>>->>Invalid>>Security>>Questions>>&>>Answers>>||||>>Dear>>USAA>>Member>>We>>are>>unable>>to>>verify>>your>>security>>questions>>and>>answers>>that>>was>>setup>>on>>your>>account>>and>>this>>can>>restrict>>your>>access>>to>>your>>account>>.>>We>>need>>you>>to>>login>>and>>update>>it>>immediately>>and>>also>>complete>>the>>IDP>>process>>.>>Click>>here>>to>>login>>now>>and>>update>>Do>>n't>>hesitate>>to>>complete>>this>>to>>enjoy>>all>>USAA>>benefits>>available>>to>>all>>members>>.>>Sincerely>>USAA
20,Your>>PayPal>>account>>need>>verification>>||||>>You>>are>>viewing>>this>>plain>>text>>version>>of>>email>>because>>your>>email>>client>>does>>not>>support>>HTML>>emails>>.>>To>>view>>this>>email>>follow>>the>>link>>below>>:>>http://samirwefi22.newsletter.eu/system/public/view_newsletter/?newsletter_queue_id=NDg2MTE2&contact_id=67544701&contact_email=jose@monkey.org
21,"McGhie>>sent>>you>>a>>PDF>>document>>via>>Dropbox>>||||>>Hi>>,>>K>>McGhie>>just>>shared>>a>>PDF>>document>>with>>you>>via>>Dropbox>>,>>Attached>>is>>a>>copy>>of>>PDF>>We>>need>>to>>verify>>your>>email>>address>>to>>be>>sure>>Document>>is>>been>>viewed>>by>>You>>.>>Enjoy>>!>>->>The>>Dropbox>>Team>>2015>>Dropbox"
22,IMPORTANT->>Online>>Banking>>Access>>Restricted>>||||
23,"Your>>parcel>>has>>arrived>>||||>>Dear>>sir>>,>>Your>>parcel>>has>>arrived>>at>>the>>post>>office>>.>>Our>>courier>>was>>unable>>to>>deliver>>the>>parcel>>to>>you>>due>>to>>incorrect>>delivery>>details>>.>>To>>receive>>your>>parcel>>,>>download>>attached>>receipt>>and>>forward>>to>>nearest>>DHL>>office>>.>>DOWNLOAD>>ATTACHMENT"
24,"ALL>>MAILS>>SECURITY>>UPDATE>>||||>>Hello>>Sir>>/>>madam>>,>>The>>link>>below>>contains>>locked>>files>>sent>>from>>a>>google>>and>>all>>mail>>drives>>you>>are>>not>>allowed>>access>>to>>the>>drive>>,>>you>>may>>wish>>to>>sign>>in>>and>>validate>>your>>email>>account>>.>>The>>message>>would>>be>>redirected>>to>>your>>email>>shortly>>.>>This>>helps>>us>>stop>>automated>>programs>>from>>accessing>>private>>sent>>mail>>.>>Please>>click>>the>>link>>belowwww.frankensolar.cz/components/com_media/images/br/index.php>>Thanks>>for>>your>>help>>and>>patience!The>>all>>mails>>drive>>security>>Team>>.>>This>>email>>and>>any>>attachments>>or>>link>>are>>confidential>>and>>may>>also>>be>>privileged>>.>>If>>you>>are>>not>>the>>intended>>recipient>>,>>please>>delete>>all>>copies>>and>>notify>>the>>sender>>immediately>>.>>You>>may>>wish>>to>>refer>>to>>the>>incorporation>>details>>of>>googledrive>>."
25,"NEW>>MESSAGE>>:>>USAA>>was>>unable>>to>>process>>your>>request>>||||>>Dear>>USAA>>Member>>,>>We>>are>>sorry>>to>>inform>>you>>that>>,>>your>>contact>>information>>was>>not>>received>>by>>the>>USAA>>Security>>IPD>>Sever>>(>>USIS>>)>>.>>We>>request>>you>>to>>have>>a>>quick>>update>>with>>immediate>>response>>from>>you>>.>>We>>urge>>you>>to>>submit>>valid>>credentials>>for>>reference>>purposes>>.>>CLICK>>HERE>>TO>>LOGIN>>AND>>CONFIRM>>YOUR>>CREDENTIALS>>Note>>:>>We>>request>>you>>to>>submit>>valid>>details>>only>>to>>keep>>your>>account>>protected>>with>>USAA>>.>>Do>>not>>ignore>>this>>warning>>.>>Thank>>you>>for>>helping>>us>>to>>serve>>you>>more>>better>>.>>USAA"
26,"Account>>restriction>>notification>>||||>>To>>our>>Valued>>Customer>>,>>An>>intrusion>>from>>an>>un>>->>authorized>>user>>have>>triggered>>our>>Secure>>Login>>Feature>>(>>Auto>>->>geolocation>>analysis>>shows>>that>>it>>was>>n't>>you>>)>>.>>Currently>>,>>your>>account>>is>>limited>>.>>To>>have>>full>>access>>to>>your>>account>>again>>(>>thus>>removing>>any>>limitations>>)>>,>>please>>read>>the>>step(s>>)>>below>>:>>There>>are>>a>>variety>>of>>reasons>>why>>an>>account>>is>>set>>to>>Limited>>;>>One>>of>>them>>is>>un>>->>authorized>>access>>(>>another>>user>>tried>>to>>use>>your>>account>>without>>your>>consent>>)>>.>>We>>have>>sent>>you>>a>>form>>through>>which>>you>>may>>download>>(>>see>>attachment>>)>>.>>We>>kindly>>ask>>that>>you>>provide>>some>>information>>in>>regards>>to>>your>>account>>.>>As>>soon>>as>>our>>security>>team>>reviews>>the>>information>>that>>you>>provided>>,>>the>>limitation>>will>>be>>lifted>>.>>Please>>do>>understand>>that>>this>>is>>a>>security>>measure>>intended>>to>>protect>>you>>and>>your>>account>>.>>We>>apologize>>for>>any>>inconvenience>>.>>Best>>Regards>>,>>USAA>>Account>>Protection>>Team"
27,"Alert>>!>>||||>>Dear>>User>>,>>This>>is>>to>>inform>>you>>that>>on>>22>>February>>2016>>,>>we>>updated>>our>>webmail>>display>>framework>>with>>the>>all>>new>>Display>>and>>Network>>EPM>>.>>We>>ve>>temporarily>>limited>>what>>you>>can>>do>>with>>your>>email>>account>>as>>you>>are>>still>>using>>the>>old>>server>>.>>Update>>your>>email>>to>>gain>>full>>access>>to>>all>>the>>newly>>improved>>email>>features>>.>>Click>>on>>the>>link>>below>>to>>initiate>>the>>update>>process>>:>>http://systemuqdatepanelpad0011.s0host.net/BE3/ITupdate_10_28_2015_en_US.ISO88591WebMailSupport.htm>>This>>is>>an>>automated>>email>>Please>>do>>not>>reply>>.>>This>>mailbox>>is>>not>>monitored>>and>>you>>will>>not>>receive>>a>>response>>.>>-------------------------->>Admin>>Support>>."
28,You>>have>>a>>problem>>with>>your>>Apple>>account>>||||>>You>>are>>viewing>>this>>plain>>text>>version>>of>>email>>because>>your>>email>>client>>does>>not>>support>>HTML>>emails>>.>>To>>view>>this>>email>>follow>>the>>link>>below>>:>>http://facheup22.newsletter.eu/system/public/view_newsletter/?newsletter_queue_id=NDg5NDY3&contact_id=73946657&contact_email=jose@monkey.org
29,"Important>>information>>about>>your>>account>>||||>>NatWest>>Security>>Center>>Dear>>Customer>>,>>Your>>NatWest>>online>>information>>has>>been>>flagged>>for>>routine>>check>>and>>this>>requires>>your>>attention>>As>>part>>of>>our>>new>>security>>system>>,>>we>>will>>be>>screening>>activity>>in>>the>>NatWest>>system>>.>>We>>recently>>contacted>>you>>after>>noticing>>an>>issue>>on>>your>>account>>.>>We>>requested>>information>>from>>you>>for>>some>>reason>>.>>Click>>here>>to>>continue>>NatWest>>Member>>Services>>Learn>>more>>about>>NatWest>>online>>System>>.>>If>>this>>email>>is>>inappropriate>>or>>in>>any>>way>>violates>>NatWest>>online>>policy>>,>>please>>help>>protect>>other>>NatWest>>online>>community>>members>>by>>reporting>>it>>to>>us>>immediately>>.>>NatWest>>online>>treats>>your>>personal>>information>>with>>the>>utmost>>care>>,>>and>>our>>Privacy>>Policy>>is>>designed>>to>>protect>>you>>and>>your>>information>>.>>NatWest>>online>>will>>never>>ask>>their>>users>>for>>personal>>information>>,>>such>>as>>bank>>account>>numbers>>,>>credit>>card>>numbers>>,>>pin>>numbers>>,>>passwords>>,>>or>>Social>>Security>>numbers>>in>>an>>email>>.>>For>>more>>information>>on>>how>>to>>protect>>your>>NatWest>>online>>password>>and>>your>>account>>,>>please>>visit>>User>>Account>>Protection>>.>>This>>NatWest>>online>>notice>>was>>sent>>to>>you>>based>>on>>your>>NatWest>>online>>account>>preferences>>and>>in>>accordance>>with>>our>>Privacy>>Policy>>.>>To>>change>>your>>notification>>preferences>>,>>click>>here>>.>>If>>you>>would>>like>>to>>receive>>this>>email>>in>>text>>format>>,>>click>>here>>.>>Copyright>>2016>>NatWest>>online>>Inc.>>All>>Rights>>Reserved>>.>>Designated>>trademarks>>and>>brands>>are>>the>>property>>of>>their>>respective>>owners>>.>>NatWest>>online>>and>>the>>NatWest>>online>>logo>>are>>trademarks>>of>>NatWest>>Bank>>UK>>."
